"id","country","country_code","marketing","utility","authentication","service","business_Initiated_rate","authentication_international","user_Initiated_rate","modified","market","updated"
"26","Canada","1","1.8313","1.0988","0.9889","0.6461","1.0768",NULL,"0.6461","2024-10-19 17:18:38","n/a","0"
"27","United States","1","1.8313","1.0988","0.9889","0.6461","1.0768",NULL,"0.6461","2024-10-19 17:18:38","n/a","0"
"29","Algeria","213","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"30","Angola","244","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"31","Benin","229","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"32","Botswana","267","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"33","Burkina Faso","226","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"34","Burundi","257","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"35","Cameroon","237","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"36","Chad","235","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"37","Republic of the Congo (Brazzaville)","242","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"38","Eritrea","291","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"39","Ethiopia","251","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"40","Gabon","241","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"41","Gambia","220","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"42","Ghana","233","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"43","Guinea-Bissau","245","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"44","Ivory Coast","225","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"45","Kenya","254","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"46","Lesotho","266","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
"47","Liberia","231","1.6497","1.1731","1.0558","2.6572","8.8572",NULL,"2.6572","2024-10-19 17:18:38","n/a","0"
